proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct,motivo
DISFARMA,CALI,BEST,19986776-04,IBUPROFENO+TIZANIDINA 200MG+2MG C*20 TAB (MYOS-NOR F) - BEST,23120,IBUPROFENO+TIZANIDINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,BEST,19986776-04,IBUPROFENO+TIZANIDINA 200MG+2MG C*20 TAB (MYOS-NOR F) - BEST,23120,IBUPROFENO+TIZANIDINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,PROCAPS,19987145-07,OLOPATADINA 2MG/ML (0.2%) SOL OFT GTS C*25 FCO X 3ML (ALAP) - PROCAPS,121725,OLOPATADINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,PROCAPS,19987145-07,OLOPATADINA 2MG/ML (0.2%) SOL OFT GTS C*25 FCO X 3ML (ALAP) - PROCAPS,121725,OLOPATADINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,PROCAPS,19987145-07,OLOPATADINA 2MG/ML (0.2%) SOL OFT GTS C*25 FCO X 3ML (ALAP) - PROCAPS,121725,OLOPATADINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,ORGANON,19987333-01,ETINILESTRADIOL+ETONOGESTREL 2.7MG+11.7MG ANILLO VAGINAL C*1 (NUVARING) - ORGANON,64091,ETINILESTRADIOL+ETONOGESTREL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,ORGANON,19987333-01,ETINILESTRADIOL+ETONOGESTREL 2.7MG+11.7MG ANILLO VAGINAL C*1 (NUVARING) - ORGANON,64091,ETINILESTRADIOL+ETONOGESTREL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,QUIMICA PATRIC,19987527-01,TINIDAZOL 1G TAB CX4 (MEMBITROL) - QUIMICA PATRIC,4320,TINIDAZOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,QUIMICA PATRIC,19987527-01,TINIDAZOL 1G TAB CX4 (MEMBITROL) - QUIMICA PATRIC,4320,TINIDAZOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,MEGALABS,19987642-01,MOMETASONA 0.1G/100G EMUL TOP C*1 FCO X 60ML (DERMACORTINE 0.1%) - MEGALABS,87475,MOMETASONA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,MEGALABS,19987642-01,MOMETASONA 0.1G/100G EMUL TOP C*1 FCO X 60ML (DERMACORTINE 0.1%) - MEGALABS,87475,MOMETASONA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,PROCAPS,19987729-02,LEVOCETIRIZINA 2.5MG/5ML JBE C*1 FCO X 120ML (LEVOTREX FRUTOS ROJOS) - PROCAPS,15245,LEVOCETIRIZINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,PROCAPS,19987729-02,LEVOCETIRIZINA 2.5MG/5ML JBE C*1 FCO X 120ML (LEVOTREX FRUTOS ROJOS) - PROCAPS,15245,LEVOCETIRIZINA,,,,,,SIN_REGULACION_EN_BD
